發生時間,發生地點,死亡受傷人數,車種
103年07月08日 00時26分00秒,宜蘭縣宜蘭市農權路79號前0.0公尺,死亡1;受傷0,普通重型-機車
103年07月08日 11時17分00秒,桃園縣新屋鄉大坡村2鄰產業道路前0.0公尺,死亡1;受傷1,自用-小客車;自用-小客車
103年07月08日 16時49分00秒,嘉義縣太保市台18 500.0公尺處西向慢,死亡1;受傷0,普通重型-機車
103年07月08日 23時49分00秒,臺中市北區建興里崇德路 / 臺中市北區建興里梅亭街,死亡1;受傷0,救護車-特種車;普通重型-機車
103年07月09日 06時30分00秒,臺北市內湖區內湖路2段前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人
103年07月09日 07時30分00秒,高雄市楠梓區軍校路 / 高雄市楠梓區和光街口,死亡1;受傷1,普通重型-機車;行人-人
103年07月09日 12時55分00秒,臺北市內湖區,死亡1;受傷3,遊覽車-大客車;計程車-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);乘客-人
103年07月09日 20時00分00秒,新北市土城區四川路20號前0.0公尺,死亡1;受傷0,民營客運-大客車;普通重型-機車
103年07月09日 21時40分00秒,高雄市三民區鼎力路 / 高雄市三民區鼎金後路口,死亡1;受傷1,普通重型-機車;普通重型-機車
103年07月10日 00時25分00秒,高雄市美濃區中正路三段前0.0公尺,死亡1;受傷0,普通重型-機車
103年07月10日 11時25分00秒,桃園縣桃園市桃鶯路370號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車
103年07月10日 13時30分00秒,苗栗縣銅鑼鄉國道1號 140公里南向出口匝道,死亡1;受傷4,自用-小貨車(含客、貨兩用);乘客-人;乘客-人;乘客-人;乘客-人
103年07月10日 19時40分00秒,高雄市旗山區旗南一路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車
103年07月11日 02時05分00秒,新竹市東區園區二路 / 新竹市東區工業東三路,死亡1;受傷0,自用-小客車;普通重型-機車
103年07月11日 08時00分00秒,臺南市安定區港口1-83號北側路口,死亡1;受傷2,普通重型-機車;自用-小客車;乘客-人
103年07月11日 10時03分00秒,新竹縣竹東鎮中正路206號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
103年07月11日 16時10分00秒,桃園縣平鎮市中豐路 / 桃園縣平鎮市新富街,死亡1;受傷0,普通重型-機車
103年07月11日 16時40分00秒,臺南市楠西區174 55公里900.0公尺處東向外側,死亡1;受傷0,普通重型-機車
103年07月11日 18時25分00秒,高雄市路竹區太平路前0.0公尺,死亡1;受傷0,自用-小客車;普通輕型-機車
103年07月11日 22時50分00秒,彰化縣員林鎮員林大道路 / 彰化縣員林鎮復興路,死亡1;受傷0,普通重型-機車;自用-小客車
103年07月12日 04時49分00秒,新竹縣竹北市博愛街前0.0公尺,死亡1;受傷0,普通重型-機車
103年07月12日 08時44分00秒,花蓮縣花蓮市府前路568號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
103年07月12日 08時45分00秒,雲林縣東勢鄉同安村同北路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
103年07月12日 16時35分00秒,臺東縣台東市更生北路721號,死亡1;受傷0,行人-人;自用-小客車
103年07月12日 17時18分00秒,雲林縣莿桐鄉東興路 / 雲林縣莿桐鄉產業道路,死亡1;受傷0,普通重型-機車;自用-小客車
103年07月12日 17時53分00秒,臺東縣卑南鄉龍泉路43巷路段,死亡1;受傷2,自用-小客車;乘客-人;乘客-人
103年07月12日 18時12分00秒,臺中市南區城隍里忠孝路133號前0.0公尺,死亡1;受傷0,自用-小客車;普通輕型-機車;自用-小客車
103年07月12日 23時10分00秒,高雄市鳳山區中山東路 / 高雄市鳳山區埤頂街口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
103年07月13日 00時17分00秒,臺北市中山區,死亡1;受傷1,計程車-小客車;乘客-人
103年07月13日 02時00分00秒,屏東縣竹田鄉履豐村豐振路2-8號前0.0公尺,死亡1;受傷0,普通重型-機車
103年07月13日 05時45分00秒,高雄市阿蓮區中正路前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
103年07月13日 08時00分00秒,桃園縣楊梅鎮國道1號 69公里300.0公尺處北向外側,死亡1;受傷2,自用-小客車;自用-小客車;乘客-人
103年07月13日 08時05分00秒,雲林縣二崙鄉產業道路 二崙165南15支線電桿附近,死亡1;受傷0,普通重型-機車
103年07月13日 19時13分00秒,南投縣草屯鎮碧興路一段87號前0.0公尺,死亡1;受傷1,普通輕型-機車;普通重型-機車
103年07月14日 02時04分00秒,新北市金山區臺2線道路前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人
103年07月14日 10時25分00秒,臺中市北屯區部子里太原路 / 臺中市北屯區部子里建和路,死亡1;受傷0,自用-大貨車;普通重型-機車
103年07月14日 16時57分00秒,臺南市安南區安中路六段 / 臺南市安南區安明路,死亡1;受傷0,營業用-大貨車;腳踏自行車-慢車
103年07月14日 17時13分00秒,新北市新店區北新路2段前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車
103年07月14日 18時06分00秒,臺南市麻豆區南24 10公里東向外側,死亡1;受傷0,普通重型-機車
103年07月14日 21時30分00秒,高雄市前鎮區興旺路前0.0公尺,死亡1;受傷0,行人-人;自用-大貨車
103年07月14日 23時02分00秒,桃園縣楊梅市國道1號 67公里南向內側,死亡1;受傷0,行人-人;自用-小客車
103年07月15日 05時15分00秒,彰化縣和美鎮東谷路 / 彰化縣和美鎮東谷路,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
103年07月15日 09時13分00秒,臺中市西區公民里自治街 / 臺中市西區公民里金山路,死亡1;受傷0,普通輕型-機車;自用-小客車
103年07月15日 13時13分00秒,新北市鶯歌區中湖街35號前0.0公尺,死亡1;受傷0,營業用-曳引車;普通重型-機車
103年07月15日 15時45分00秒,南投縣竹山鎮大林巷投49-1線4.4公里處,死亡1;受傷0,自用-大貨車;乘客-人;乘客-人
103年07月17日 08時30分00秒,宜蘭縣員山鄉深洲一路 / 宜蘭縣員山鄉思源路,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人
103年07月17日 13時58分00秒,桃園縣桃園市健行路 / 桃園縣桃園市鹽務路,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
103年07月17日 14時28分00秒,嘉義縣水上鄉台82 22公里300.0公尺處西向內側,死亡1;受傷0,自用-小貨車(含客、貨兩用);自用-大貨車
103年07月17日 18時35分00秒,臺中市大甲區新美里經國路 / 臺中市大甲區新美里永順街,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
103年07月17日 20時05分00秒,嘉義市西區世賢路2段前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人
103年07月17日 22時00分00秒,彰化縣員林鎮,死亡1;受傷0,普通重型-機車
103年07月18日 10時15分00秒,臺南市柳營區路口,死亡1;受傷0,普通重型-機車;自用-大貨車
103年07月18日 12時22分00秒,花蓮縣吉安鄉南海五街 / 花蓮縣吉安鄉海岸路,死亡1;受傷0,動力機械-其他車;普通重型-機車
103年07月18日 12時30分00秒,高雄市鳳山區澄清路前0.0公尺,死亡1;受傷0,自用-小客車;自用-大貨車
103年07月18日 19時40分00秒,新竹縣新豐鄉建興路二段前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
103年07月18日 19時55分00秒,屏東縣崁頂鄉中興路1-16號前0.0公尺,死亡1;受傷0,普通輕型-機車;自用-小客車
103年07月18日 22時28分00秒,基隆市仁愛區南榮路170號前0.0公尺,死亡1;受傷0,普通重型-機車
103年07月19日 11時15分00秒,南投縣埔里鎮水頭里水頭路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車
103年07月19日 17時50分00秒,高雄市小港區中山四路 / 高雄市小港區金福路口,死亡1;受傷0,普通重型-機車
103年07月20日 04時05分00秒,臺南市佳里區176 15公里400.0公尺處東向西,死亡1;受傷1,自用-小客車;乘客-人
103年07月20日 06時10分00秒,雲林縣台西鄉158 3公里700.0公尺處西向內側,死亡1;受傷0,普通重型-機車
103年07月20日 07時00分00秒,彰化縣二水鄉引水道路前0.0公尺,死亡1;受傷0,普通重型-機車
103年07月20日 12時37分00秒,宜蘭縣壯圍鄉壯圍鄉順和路7之2號往西300公尺路口(路燈09375旁),死亡1;受傷3,自用-小客車;普通重型-機車;乘客-人;乘客-人
103年07月20日 14時25分00秒,宜蘭縣蘇澳鎮蘇南里中山路一段29號前0.0公尺,死亡1;受傷1,普通輕型-機車;民營公車-大客車;乘客-人
103年07月21日 03時30分00秒,嘉義縣太保市國道1號 262公里800.0公尺處北向中線,死亡2;受傷0,自用-大貨車;營業用-大貨車
103年07月21日 05時25分00秒,臺南市新化區那拔林246號旁路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
103年07月21日 09時15分00秒,臺南市後壁區侯伯橋上,死亡1;受傷0,普通輕型-機車;自用-小客車
103年07月21日 12時55分00秒,高雄市鼓山區萬壽路前0.0公尺,死亡1;受傷0,自用-大貨車
103年07月21日 15時33分00秒,彰化縣鹿港鎮,死亡1;受傷0,普通重型-機車
103年07月21日 16時20分00秒,高雄市路竹區路科五路 / 高雄市路竹區路科十路,死亡1;受傷0,營業用-曳引車;普通重型-機車
103年07月21日 17時12分00秒,嘉義縣太保市台18 5公里北向慢,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車
103年07月21日 21時30分00秒,嘉義縣太保市北新里中正路254號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
103年07月22日 01時35分00秒,高雄市大寮區新厝路前0.0公尺,死亡1;受傷0,自用-小客車
103年07月22日 03時37分00秒,花蓮縣吉安鄉勝安村自強路52號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小客車
103年07月22日 05時28分00秒,雲林縣口湖鄉湖東村中正路一段72號前,死亡1;受傷0,行人-人;自用-小客車
103年07月22日 11時00分00秒,嘉義縣中埔鄉田寮29號電桿,死亡1;受傷0,自用-大貨車
103年07月22日 12時03分00秒,新竹市東區經國路一段315巷前0.0公尺,死亡1;受傷0,普通重型-機車;普通重型-機車;自用-小客車
103年07月22日 17時07分00秒,臺南市新市區中山與中正路口,死亡1;受傷0,自用-小客車;普通重型-機車
103年07月22日 17時35分00秒,臺南市永康區二王里中山南路316巷前0.0公尺,死亡1;受傷0,遊覽車-大客車;普通重型-機車
103年07月22日 18時19分00秒,彰化縣埤頭鄉東外環路 / 彰化縣埤頭鄉庄子路,死亡1;受傷0,自用-大貨車;行人-人
103年07月22日 22時17分00秒,屏東縣竹田鄉台1 402公里900.0公尺處南向外側,死亡1;受傷0,普通重型-機車
103年07月23日 03時05分00秒,高雄市燕巢區中興路前0.0公尺,死亡1;受傷0,普通重型-機車
103年07月23日 14時00分00秒,臺南市東區東門路三段 / 臺南市東區東門路三段,死亡1;受傷1,普通輕型-機車;普通輕型-機車
103年07月23日 15時40分00秒,臺中市大甲區國道3號 164公里600.0公尺處南向外側,死亡1;受傷1,自用-小貨車(含客、貨兩用);營業用-半聯結車;乘客-人
103年07月23日 19時05分00秒,高雄市彌陀區光和路前0.0公尺,死亡1;受傷0,自用-小客車
103年07月24日 23時07分00秒,彰化縣芳苑鄉,死亡1;受傷0,普通重型-機車
103年07月24日 23時29分00秒,彰化縣永靖鄉中山路3段前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車
103年07月25日 06時50分00秒,屏東縣屏東市勝利里忠孝路 / 屏東縣屏東市勝利里廣東路,死亡1;受傷0,腳踏自行車-慢車;自用-小客車
103年07月25日 14時30分00秒,臺南市將軍區173甲線4.4公里,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);營業用-曳引車;乘客-人
103年07月25日 14時58分00秒,臺南市左鎮區臺20乙 2公里北向路緣,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人
103年07月26日 08時00分00秒,桃園縣八德市廣德里廣興路 / 桃園縣八德市廣德里廣興路,死亡1;受傷2,普通重型-機車;普通重型-機車;營業用-大貨車;乘客-人
103年07月26日 10時50分00秒,臺中市北屯區水景里東山路一段216-24-1號前0.0公尺,死亡1;受傷2,自用-小客車;營業用-大貨車;行人-人;自用-小客車;普通重型-機車;普通重型-機車;自用-小客車;自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;乘客-人
103年07月26日 17時00分00秒,高雄市茄萣區仁愛路一段 / 高雄市茄萣區內灣路口,死亡1;受傷0,普通重型-機車;計程車-小客車
103年07月27日 02時40分00秒,高雄市三民區大裕路前0.0公尺,死亡1;受傷0,普通輕型-機車;自用-小貨車(含客、貨兩用)
103年07月27日 03時39分00秒,臺中市西屯區科園路東往西方向(電線桿科園路L25至科園路L26之間),死亡1;受傷1,普通重型-機車;乘客-人
103年07月27日 11時08分00秒,新北市三芝區北新路前0.0公尺,死亡1;受傷1,自用-小客車;乘客-人
103年07月27日 13時20分00秒,高雄市楠梓區德中路 / 高雄市楠梓區援中路口,死亡1;受傷0,營業用-大貨車;普通重型-機車
103年07月27日 15時14分00秒,臺北市文山區,死亡1;受傷1,自用-小客車;大型重型1(550C.C.以上)-機車;乘客-人
103年07月28日 00時05分00秒,高雄市燕巢區國道10號 16公里900.0公尺處西向中線,死亡1;受傷3,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人
103年07月28日 09時29分00秒,雲林縣口湖鄉台17線與台興路口,死亡1;受傷0,自用-大貨車;普通重型-機車
103年07月28日 10時02分00秒,臺南市南區中華南路二段 / 臺南市南區鹽埕路,死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車
103年07月28日 10時13分00秒,臺中市大里區仁化里仁化路 / 臺中市大里區仁化里健民路,死亡1;受傷0,自用-大貨車;行人-人
103年07月28日 23時20分00秒,嘉義縣溪口鄉柴林腳1之附41號前西向路段,死亡1;受傷0,普通重型-機車
103年07月29日 08時45分00秒,臺中市北屯區水湳里文心路三段前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
103年07月29日 09時33分00秒,花蓮縣花蓮市上海街 / 花蓮縣花蓮市信義街,死亡1;受傷0,自用-小客車;電動自行車-慢車
103年07月29日 11時05分00秒,新北市樹林區中山路前0.0公尺,死亡1;受傷0,營業用-大貨車;普通重型-機車
103年07月29日 11時40分00秒,臺北市中正區仁愛路1段 / 臺北市中正區紹興南街,死亡1;受傷0,自用-小客車;普通重型-機車
103年07月29日 14時20分00秒,臺中市南屯區永定里永春東路1519之1號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車;租賃車-小客車
103年07月29日 16時06分00秒,南投縣埔里鎮西門里中正路 / 南投縣埔里鎮西門里信義路,死亡1;受傷0,自用-大貨車;普通重型-機車
103年07月29日 16時22分00秒,臺中市霧峰區中正里四德路 / 臺中市霧峰區中正里林森路,死亡1;受傷0,營業用-大貨車;普通重型-機車
103年07月29日 23時06分00秒,桃園縣龜山鄉萬壽路二段 / 桃園縣龜山鄉三民路,死亡1;受傷0,普通輕型-機車
103年07月30日 08時28分00秒,桃園縣楊梅市高榮里快速路五段 / 桃園縣楊梅市高榮里榮平路,死亡1;受傷0,自用-大貨車;普通輕型-機車
103年07月30日 12時05分00秒,臺南市仁德區國道1號 326公里800.0公尺處北向中線,死亡1;受傷3,營業用-半聯結車;自用-小客車;自用-小客車;營業用-半聯結車;自用-小客車;自用-小客車;乘客-人
103年07月30日 15時05分00秒,臺南市七股區南26線公路與南28線公路口,死亡1;受傷0,自用-大貨車;普通重型-機車
103年07月30日 16時25分00秒,桃園縣平鎮市中豐路山頂段前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車;乘客-人
103年07月30日 19時28分00秒,臺中市清水區海濱里中清路九段 / 臺中市清水區海濱里文興路,死亡1;受傷0,自用-小客車;營業用-半聯結車
103年07月31日 05時50分00秒,新竹縣橫山鄉橫山村中豐路一段2巷前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車
103年07月31日 06時20分00秒,臺東縣太麻里鄉台9 393公里700.0公尺處北向中外,死亡1;受傷0,普通重型-機車;營業用-半聯結車
103年07月31日 07時00分00秒,嘉義縣民雄鄉東榮村建國路一段301號前0.0公尺,死亡1;受傷0,自用-小客車;腳踏自行車-慢車
103年07月31日 12時56分00秒,臺南市善化區台1線與178線路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
103年07月31日 13時37分00秒,臺中市龍井區新東里遊園南路333號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用)
103年07月31日 18時35分00秒,新北市八里區龍米路1段77號前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車;營業用-大貨車
103年07月31日 22時14分00秒,臺東縣鹿野鄉台9 354公里500.0公尺處北向中外,死亡1;受傷0,自用-小客車;腳踏自行車-慢車
103年08月01日 07時47分00秒,苗栗縣苗栗市台13線豪榮社區口,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車;自用-小客車;自用-小客車
103年08月01日 07時55分00秒,高雄市仁武區鳳仁路 / 高雄市仁武區仁勇路口,死亡1;受傷0,自用-大貨車;普通重型-機車
103年08月01日 10時18分00秒,新北市新莊區中正路471號前0.0公尺,死亡1;受傷0,其他人-人;營業用-曳引車
103年08月02日 02時15分00秒,嘉義縣民雄鄉福興村文化路前0.0公尺,死亡1;受傷0,腳踏自行車-慢車;營業用-大貨車
103年08月02日 04時50分00秒,臺南市南區健康路一段前0.0公尺,死亡1;受傷0,計程車-小客車;行人-人
103年08月02日 17時54分00秒,臺北市文山區,死亡1;受傷0,普通重型-機車;其他車-其他車
103年08月02日 18時00分00秒,雲林縣莿桐鄉台糖鐵道路(鐵塔),死亡1;受傷0,普通重型-機車
103年08月02日 19時11分00秒,新竹縣湖口鄉中正路二段235號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
103年08月02日 22時25分00秒,苗栗縣泰安鄉錦水村上島公路 / 苗栗縣泰安鄉錦水村上島公路,死亡1;受傷0,行人-人;自用-小客車
103年08月03日 00時32分00秒,桃園縣新屋鄉新生村中山路 / 桃園縣新屋鄉新生村中正路,死亡1;受傷1,普通重型-機車;普通重型-機車
103年08月03日 02時20分00秒,高雄市阿蓮區復安路前0.0公尺,死亡1;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人
103年08月03日 09時20分00秒,宜蘭縣蘇澳鎮永榮里馬賽路 / 宜蘭縣蘇澳鎮永榮里永新路,死亡1;受傷0,自用-小貨車(含客、貨兩用);營業用-曳引車
103年08月03日 19時50分00秒,花蓮縣瑞穗鄉民三街139號前,死亡1;受傷0,普通重型-機車
103年08月03日 20時50分00秒,彰化縣北斗鎮陶朱路 / 彰化縣北斗鎮陶朱路,死亡1;受傷0,自用-小客車;普通重型-機車
103年08月04日 02時46分00秒,臺北市中山區中山北路 / 臺北市中山區德惠街,死亡1;受傷0,計程車-小客車;普通重型-機車
103年08月04日 05時55分00秒,桃園縣大溪鎮康莊路三段632號前0.0公尺,死亡2;受傷1,自用-小客車;普通重型-機車;乘客-人
103年08月04日 06時45分00秒,臺中市西屯區潮洋里市政北七路前0.0公尺,死亡1;受傷0,普通重型-機車
103年08月04日 06時50分00秒,臺南市安南區台江大道四段前0.0公尺,死亡1;受傷0,普通重型-機車
103年08月04日 10時15分00秒,屏東縣內埔鄉龍泉村水源路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
103年08月04日 11時37分00秒,屏東縣九如鄉機場外環道,死亡1;受傷0,普通重型-機車
103年08月04日 16時30分00秒,新竹縣橫山鄉橫山村中豐路一段 / 新竹縣橫山鄉橫山村中豐路一段,死亡1;受傷1,自用-小貨車(含客、貨兩用);其他人-人
103年08月04日 18時10分00秒,屏東縣萬丹鄉大昌路與大昌路750巷口附近,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車
103年08月04日 23時03分00秒,臺北市北投區大度路 / 臺北市北投區大業路,死亡1;受傷0,普通重型-機車
103年08月05日 01時13分00秒,澎湖縣湖西鄉岔路口,死亡1;受傷0,自用-小客車;行人-人
103年08月05日 06時14分00秒,彰化縣二林鎮長春路前0.0公尺,死亡1;受傷0,普通重型-機車
103年08月05日 06時25分00秒,臺北市北投區石牌路 / 臺北市北投區西安街,死亡1;受傷0,民營公車-大客車;行人-人
103年08月05日 06時50分00秒,雲林縣四湖鄉台61 233公里500.0公尺處北向外側,死亡1;受傷0,營業用-曳引車
103年08月05日 08時34分00秒,花蓮縣秀林鄉長春橋隧道以東300公尺處東向,死亡1;受傷0,普通重型-機車
103年08月05日 11時42分00秒,苗栗縣通霄鎮台1 130公里600.0公尺處南向中外,死亡1;受傷1,自用-小客車;乘客-人
103年08月05日 12時21分00秒,屏東縣高樹鄉新南村興店路前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小客車;乘客-人
103年08月06日 07時50分00秒,彰化縣埔心鄉羅厝路3段前0.0公尺,死亡1;受傷0,普通重型-機車
103年08月06日 18時00分00秒,南投縣名間鄉防汛道路往二水方向,死亡1;受傷0,普通重型-機車
103年08月06日 19時45分00秒,臺南市白河區165 10公里500.0公尺處南向外側,死亡1;受傷0,自用-小客車
103年08月07日 02時20分00秒,高雄市林園區林內路前0.0公尺,死亡1;受傷0,普通重型-機車
103年08月07日 06時27分00秒,桃園縣龜山鄉頂湖路58號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-小貨車(含客、貨兩用)
103年08月07日 19時30分00秒,嘉義縣鹿草鄉163 23公里400.0公尺處南向內側,死亡1;受傷0,腳踏自行車-慢車;自用-小客車
103年08月07日 23時10分00秒,高雄市仁武區中正路前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-小客車
103年08月08日 00時12分00秒,花蓮縣吉安鄉吉安路一段167號前0.0公尺,死亡1;受傷0,自用-小客車
103年08月08日 00時15分00秒,臺南市安南區安明路 / 臺南市安南區郡安路,死亡1;受傷0,自用-小客車
103年08月08日 01時03分00秒,南投縣名間鄉南田路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
103年08月08日 04時40分00秒,彰化縣員林鎮員水路1段前0.0公尺,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車;其他人-人
103年08月08日 05時21分00秒,嘉義縣布袋鎮161 11公里600.0公尺處南向路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
103年08月08日 19時00分00秒,桃園縣八德市瑞德里介壽路二段1408號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用)
103年08月08日 22時20分00秒,屏東縣南州鄉錦埔路與台一線路口,死亡1;受傷0,腳踏自行車-慢車;自用-小客車
103年08月09日 03時30分00秒,苗栗縣卓蘭鎮台3 148公里6.0公尺處南向北,死亡1;受傷0,普通重型-機車;自用-小客車
103年08月09日 06時05分00秒,雲林縣四湖鄉155 8公里500.0公尺處南向外側,死亡1;受傷0,自用-小客車
103年08月09日 07時58分00秒,臺南市後壁區南82 5公里300.0公尺處西向外側,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人
103年08月09日 11時56分00秒,新北市三峽區復興路80巷前0.0公尺,死亡1;受傷0,計程車-小客車;大型重型1(550C.C.以上)-機車
103年08月09日 21時05分00秒,屏東縣屏東市斯文里中正路 / 屏東縣屏東市斯文里勝利路,死亡1;受傷4,自用-小客車;自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車
103年08月10日 04時12分00秒,嘉義縣水上鄉柳子林1212號前,死亡1;受傷0,自用-小客車;行人-人
103年08月10日 05時30分00秒,新竹縣湖口鄉中平路二段388號前0.0公尺,死亡1;受傷2,自用-小貨車(含客、貨兩用);腳踏自行車-慢車;乘客-人
103年08月10日 05時47分00秒,屏東縣鹽埔鄉鹽中村中山路 / 屏東縣鹽埔鄉鹽中村勝利路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
103年08月10日 12時15分00秒,臺中市東勢區埤頭里石城街石山巷29-8號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
103年08月10日 13時03分00秒,嘉義縣大林鎮國道3號 284公里400.0公尺處北向外側,死亡1;受傷1,自用-小客車;自用-小客車;其他人-人;乘客-人
103年08月10日 15時00分00秒,新北市土城區延和路前0.0公尺,死亡1;受傷0,自用-曳引車;腳踏自行車-慢車
103年08月11日 05時30分00秒,新竹縣寶山鄉國道1號 100公里100.0公尺處南向加速,死亡1;受傷0,自用-大貨車
103年08月11日 09時50分00秒,雲林縣斗南鎮崙子路與泰山路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
103年08月11日 21時06分00秒,彰化縣芬園鄉大彰路前0.0公尺,死亡1;受傷0,大型重型1(550C.C.以上)-機車
103年08月11日 23時40分00秒,高雄市林園區沿海路二段 / 高雄市林園區林園南路口,死亡1;受傷18,營業用-半聯結車;自用大客車-大客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人
103年08月12日 00時39分00秒,新北市八里區中山路1段150巷前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車
103年08月12日 05時09分00秒,臺北市士林區,死亡1;受傷0,普通重型-機車
103年08月12日 06時40分00秒,雲林縣麥寮鄉施厝251號,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車
103年08月12日 07時00分00秒,高雄市小港區光陽街 / 高雄市小港區茂大街口,死亡1;受傷0,營業用-半聯結車;普通重型-機車
103年08月12日 10時09分00秒,新北市汐止區新台五路2段145號前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用)
103年08月12日 12時05分00秒,雲林縣二崙鄉永定路永定村路燈121號前,死亡1;受傷0,普通重型-機車
103年08月12日 12時30分00秒,高雄市燕巢區安新路 / 高雄市燕巢區安南二路口,死亡1;受傷0,普通重型-機車;自用-半聯結車
103年08月12日 16時50分00秒,臺中市大安區西安里東西八路 / 臺中市大安區西安里南北六路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
103年08月12日 23時00分00秒,臺中市大里區國光里德芳南路 / 臺中市大里區國光里德芳路一段,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
103年08月12日 23時27分00秒,新北市板橋區中山路1段前0.0公尺,死亡1;受傷2,自用-小客車;普通重型-機車;普通重型-機車;自用-小客車
103年08月13日 04時12分00秒,花蓮縣玉里鎮玉里所轄區,死亡1;受傷4,自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人
103年08月13日 06時06分00秒,新北市土城區臺65線道路前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人
103年08月13日 08時05分00秒,彰化縣芳苑鄉芳漢路前0.0公尺,死亡1;受傷0,營業用-大貨車;腳踏自行車-慢車
103年08月13日 13時50分00秒,苗栗縣苗栗市嘉盛里為公路709巷前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
103年08月13日 15時15分00秒,臺南市新營區卯舍路燈4354號前,死亡1;受傷0,普通重型-機車
103年08月13日 15時24分00秒,南投縣南投市祖祠東路前0.0公尺,死亡1;受傷1,普通重型-機車;其他人-人
103年08月13日 18時57分00秒,雲林縣北港鎮民生路與華南路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
